Date,Close,High,Low,Open,Volume,SMA20,SMA50,Signal,Position,Returns,Strategy_Returns,Equity,Buy_Hold
2021-03-16,14910.4501953125,15051.599609375,14890.650390625,14996.099609375,100,14983.022509765626,14717.11599609375,1,1.0,-0.001275984104457617,-0.001775984104457617,0.9982240158955424,1.0636266501631775
2021-03-17,14721.2998046875,14956.5498046875,14696.0498046875,14946.5498046875,100,14953.414990234374,14728.883984375,1,1.0,-0.012685759862868795,-0.012685759862868795,0.9855607857405431,1.0501337378954598
2021-03-18,14557.849609375,14875.2001953125,14478.599609375,14855.5,542200,14920.862451171875,14736.0509765625,1,1.0,-0.011102973071742905,-0.011102973071742905,0.9746181308759,1.0384741312818777
2021-03-19,14744.0,14788.25,14350.099609375,14471.150390625,919200,14902.11494140625,14748.0059765625,1,1.0,0.012786942826028547,0.012786942826028547,0.9870805171926209,1.0517530406248887
2021-03-22,14736.400390625,14763.900390625,14597.849609375,14736.2998046875,459000,14889.8474609375,14759.9869921875,1,1.0,-0.000515437423697751,-0.000515437423697751,0.9865717389538569,1.0512109277472628
2021-03-23,14814.75,14878.599609375,14707.0,14768.5498046875,474200,14896.799951171875,14769.3369921875,1,1.0,0.00531673999743143,0.00531673999743143,0.9918170843786883,1.0567999429325536
2021-03-24,14549.400390625,14752.349609375,14535.0,14712.4501953125,456400,14888.87998046875,14770.63,1,1.0,-0.017911176994211853,-0.017911176994211853,0.9740524730344985,1.0378714121072157
2021-03-25,14324.900390625,14575.599609375,14264.400390625,14570.900390625,606800,14856.025,14765.85900390625,1,1.0,-0.015430189146808937,-0.015430189146808937,0.9590226591366592,1.0218568599083357
2021-03-26,14507.2998046875,14572.900390625,14414.25,14506.2998046875,481000,14826.522509765626,14764.7080078125,1,1.0,0.012733031929623273,0.012733031929623273,0.9712339252766785,1.0348681959330532
2021-03-30,14845.099609375,14876.2998046875,14617.599609375,14628.5,594500,14842.319970703125,14769.6980078125,1,1.0,0.02328481586755049,0.02328481586755049,0.9938489283910643,1.0589649113225386
